<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: ARTOO_Source_Traceability.csv>
index,source,filename,line,section,subsection,source_requirement,contract_id,capability,phase,status,interaction_contract,limits_and_dependencies,acceptance_evidence
68,S1,artoo-product-requirements-doc.md,100,Core Features and Functionality,Marketplace Features,Custom Commissions: Request system with negotiation capabilities,CAP-052,Custom Commissions; Commission Settings,C,Retained source requirement; detailed behavior/phase is proposed,"Brief→proposal→quote with scope, price/currency, rights, milestones, included revisions and dates; negotiate changes as versioned offers.",Accepting new terms requires both relevant parties; revision requests do not automatically change price.,Approved offer becomes an immutable agreement; declined/replaced proposals cannot initiate the wrong charge.
69,S1,artoo-product-requirements-doc.md,101,Core Features and Functionality,Marketplace Features,AI Recommendations: Style-based suggestions based on user preferences,CAP-053,AI Recommendations; Seasonal Design Recommendations,C/X,Retained source requirement; detailed behavior/phase is proposed,"Recommend designs/artists using explicit preferences and optional interactions; explain signals, reset preferences, mark seasonal/promoted content.",No sensitive-body/health data used for targeting by default; cold start has manual filters.,Reset removes personalized ranking state; unavailable/blocked designs never reappear through recommendations.
70,S1,artoo-product-requirements-doc.md,102,Core Features and Functionality,Marketplace Features,Wishlist Functionality: Save designs for future consideration,CAP-054,Wishlist Functionality,C,Retained source requirement; detailed behavior/phase is proposed,"Save designs, artists and collections with notes, availability alerts and optional shared lists.",Saving does not reserve an exclusive license or permission to reproduce it.,Sold/deleted design stays visibly unavailable in a list without broken links or false purchase availability.
71,S1,artoo-product-requirements-doc.md,103,Core Features and Functionality,Marketplace Features,Seasonal Design Recommendations: Suggestions based on upcoming seasons/events,CAP-053,AI Recommendations; Seasonal Design Recommendations,C/X,Retained source requirement; detailed behavior/phase is proposed,"Recommend designs/artists using explicit preferences and optional interactions; explain signals, reset preferences, mark seasonal/promoted content.",No sensitive-body/health data used for targeting by default; cold start has manual filters.,Reset removes personalized ranking state; unavailable/blocked designs never reappear through recommendations.
72,S1,artoo-product-requirements-doc.md,104,Core Features and Functionality,Marketplace Features,Limited Edition Drops: Timed exclusive design releases from popular artists,CAP-055,Limited Edition Drops,X,Retained source requirement; detailed behavior/phase is proposed,"Schedule a release, display edition inventory, eligibility/time-zone and purchase limit, reserve briefly at checkout and issue a license record.",Define what exclusivity covers; prevent bots/duplicate allocation and disclose reservation expiry.,Simultaneous purchases cannot allocate the same exclusive/numbered entitlement twice.
73,S1,artoo-product-requirements-doc.md,105,Core Features and Functionality,Marketplace Features,Design Auction System: Bid on one-of-a-kind tattoo designs,CAP-056,Design Auction System,X/R,Retained source requirement; detailed behavior/phase is proposed,"Define eligible listing/license, opening/reserve terms, bid increments, end-time and anti-sniping policy; show bid/settlement history.",Jurisdiction/provider eligibility and bidder obligations gate launch; failed settlement has a documented fallback.,Concurrent/end-boundary bids produce a deterministic winner; refunds and seller payout reconcile to the winning agreement.
74,S1,artoo-product-requirements-doc.md,106,Core Features and Functionality,Marketplace Features,Custom Flash Sheet Creator: Tools for artists to create and sell digital flash sheets,CAP-057,Custom Flash Sheet Creator,F/C,Retained source requirement; detailed behavior/phase is proposed,"Arrange motifs across physical artboards with labels, margins and prices/licenses, then export print/PDF or publish individual/bundle listings.",A sheet can reference differently licensed designs; publishing requires each license to allow it.,Reordering sheet items preserves independent asset IDs and sale availability; print scale and attribution are correct.
75,S1,artoo-product-requirements-doc.md,110,Core Features and Functionality,Licensing & Rights Management,Design Ownership Rules: Who retains rights to commissioned works,CAP-058,Design Ownership Rules; Usage Limitations; Commercial vs. Personal Licenses,C,Retained source requirement; detailed behavior/phase is proposed,"Offer readable license choices with rights to edit, apply to skin, print/POD, resell, promote and train separated; attach exact terms to purchase and derivatives.",Copyright ownership and usage permission are distinct; commissioning does not silently transfer all rights.,Export/POD checks the relevant permitted use and records the accepted license version in the manifest.
76,S1,artoo-product-requirements-doc.md,111,Core Features and Functionality,Licensing & Rights Management,Usage Limitations: How purchased designs can be used by clients,CAP-058,Design Ownership Rules; Usage Limitations; Commercial vs. Personal Licenses,C,Retained source requirement; detailed behavior/phase is proposed,"Offer readable license choices with rights to edit, apply to skin, print/POD, resell, promote and train separated; attach exact terms to purchase and derivatives.",Copyright ownership and usage permission are distinct; commissioning does not silently transfer all rights.,Export/POD checks the relevant permitted use and records the accepted license version in the manifest.
77,S1,artoo-product-requirements-doc.md,112,Core Features and Functionality,Licensing & Rights Management,Commercial vs. Personal Licenses: Different rights for business use,CAP-058,Design Ownership Rules; Usage Limitations; Commercial vs. Personal Licenses,C,Retained source requirement; detailed behavior/phase is proposed,"Offer readable license choices with rights to edit, apply to skin, print/POD, resell, promote and train separated; attach exact terms to purchase and derivatives.",Copyright ownership and usage permission are distinct; commissioning does not silently transfer all rights.,Export/POD checks the relevant permitted use and records the accepted license version in the manifest.
78,S1,artoo-product-requirements-doc.md,113,Core Features and Functionality,Licensing & Rights Management,Artist Copyright Protection: Measures against unauthorized copying,CAP-059,Artist Copyright Protection; Watermarking Options; Rights Management,C,Retained source requirement; detailed behavior/phase is proposed,"Preview watermarks, attribution, access controls, license receipts, provenance, reporting and a documented takedown/dispute workflow.","Watermarking is deterrence, not absolute protection; never strip attribution from an export requiring it.",Removing a listing preserves existing valid license receipts; unauthorized original download is denied and audited.
79,S1,artoo-product-requirements-doc.md,114,Core Features and Functionality,Licensing & Rights Management,Watermarking Options: Protect designs from unauthorized use,CAP-059,Artist Copyright Protection; Watermarking Options; Rights Management,C,Retained source requirement; detailed behavior/phase is proposed,"Preview watermarks, attribution, access controls, license receipts, provenance, reporting and a documented takedown/dispute workflow.","Watermarking is deterrence, not absolute protection; never strip attribution from an export requiring it.",Removing a listing preserves existing valid license receipts; unauthorized original download is denied and audited.
80,S1,artoo-product-requirements-doc.md,115,Core Features and Functionality,Licensing & Rights Management,Rights Management: Digital licensing and usage tracking,CAP-059,Artist Copyright Protection; Watermarking Options; Rights Management,C,Retained source requirement; detailed behavior/phase is proposed,"Preview watermarks, attribution, access controls, license receipts, provenance, reporting and a documented takedown/dispute workflow.","Watermarking is deterrence, not absolute protection; never strip attribution from an export requiring it.",Removing a listing preserves existing valid license receipts; unauthorized original download is denied and audited.
81,S1,artoo-product-requirements-doc.md,119,Core Features and Functionality,POD Temporary Tattoos,"Material Options: Standard (1-3 days), Premium (3-7 days), Waterproof (5-10 days)",CAP-060,Material Options,C,Retained source requirement; detailed behavior/phase is proposed,"Show supplier-verified temporary-tattoo materials, finish, wear guidance, supported colors, skin-use instructions, cost and production constraints.","Historical Standard 1–3, Premium 3–7 and Waterproof 5–10 days are unverified supplier claims until validated; preserve them as candidate categories.",Out-of-stock/unsupported materials cannot be ordered; checkout snapshots the selected supplier specifications and artwork revision.
82,S1,artoo-product-requirements-doc.md,120,Core Features and Functionality,POD Temporary Tattoos,Size Calibration: Tools to ensure accurate reproduction,CAP-014,Size Comparison Tools; Size Calibration,F,Retained source requirement; detailed behavior/phase is proposed,"Enter physical dimensions or calibrate against a known reference, compare sizes/common objects and print a scale ruler; keep mm/inch conversion visible.",Reference perspective and uncertainty must be recorded; no known scale means no precise physical claim.,Round-trip unit conversion and exact-size export preserve dimensions; missing calibration produces a visible unresolved field.
83,S1,artoo-product-requirements-doc.md,121,Core Features and Functionality,POD Temporary Tattoos,"Shipping Options: Standard, Express, and International delivery",CAP-061,Shipping Options,C,Retained source requirement; detailed behavior/phase is proposed,"Quote standard/express/international shipping with destination, tracking, taxes/duties assumptions and dispatch/delivery estimates.","Delivery estimate is not a guarantee; partial shipments, lost parcels and unsupported destinations are explicit states.",Address/rate changes recalculate before charge; tracking updates the correct fulfillment item and exception workflow.
84,S1,artoo-product-requirements-doc.md,122,Core Features and Functionality,POD Temporary Tattoos,"Differential Pricing: Member discounts, bundle pricing",CAP-062,Differential Pricing; Discount System,C,Retained source requirement; detailed behavior/phase is proposed,"Calculate member pricing, quantity/bundles and promotional codes with eligibility, expiry, stacking rules and full subtotal breakdown.",Discounts cannot silently change artist royalty basis; define rounding and refund allocation.,Same cart/rules yield deterministic totals; expired/ineligible codes explain failure and partial refunds reverse the correct discount allocation.
85,S1,artoo-product-requirements-doc.md,123,Core Features and Functionality,POD Temporary Tattoos,Artist Commissions: Revenue sharing on POD sales,CAP-063,Artist Commissions,C,Retained source requirement; detailed behavior/phase is proposed,"Attach artist/studio/platform royalty schedule to licensed POD or design sale, show amount/basis at checkout and accrue on eligible fulfillment.","Distinguish royalty, commission fee and payout; returns and license cancellations follow snapshot rules.",One fulfilled order creates one allocation; a reprint or duplicate webhook cannot pay twice.
86,S1,artoo-product-requirements-doc.md,124,Core Features and Functionality,POD Temporary Tattoos,Gift Cards: Purchase app credits or POD tattoos for friends,CAP-064,Gift Cards; Gift Options,C,Retained source requirement; detailed behavior/phase is proposed,"Buy a monetary voucher, usage-credit gift, design entitlement or POD delivery as distinct gift types; choose recipient message, scheduling and redemption.","Currency, expiration, transferability, geography and unused-balance rules are explicit; never reveal a recipient's private body data.",Duplicate redemption fails safely; refunded original purchase has deterministic effect on remaining entitlement.
87,S1,artoo-product-requirements-doc.md,128,Core Features and Functionality,Artist Tools,Scheduling System: Calendar with manual and automated availability,CAP-065,Scheduling System; Consultation Booking,C,Retained source requirement; detailed behavior/phase is proposed,"Configure studio hours, branch/artist availability, service duration, buffers, time zones and exceptions; request or reserve a consultation/session.","Travel, overlapping calendars, DST, deposit windows and multi-session work must be handled.",Concurrent clients cannot double-book; a DST transition displays correct local time and reminders reference the accepted appointment.
88,S1,artoo-product-requirements-doc.md,129,Core Features and Functionality,Artist Tools,Portfolio Management: Showcase work with categorization,CAP-051,Artist Profiles; Portfolio Management,C,Retained source requirement; detailed behavior/phase is proposed,"Public portfolio with organized work, healed/fresh labels, styles, location, services, rates, availability and verified-credential scope; manage media and privacy.",Verification badges name what was checked; sample work ownership and client consent required.,A client finds relevant work and starts brief/booking; hidden or revoked media disappears from public access.
89,S1,artoo-product-requirements-doc.md,130,Core Features and Functionality,Artist Tools,Commission Settings: Customizable rates and terms,CAP-052,Custom Commissions; Commission Settings,C,Retained source requirement; detailed behavior/phase is proposed,"Brief→proposal→quote with scope, price/currency, rights, milestones, included revisions and dates; negotiate changes as versioned offers.",Accepting new terms requires both relevant parties; revision requests do not automatically change price.,Approved offer becomes an immutable agreement; declined/replaced proposals cannot initiate the wrong charge.
90,S1,artoo-product-requirements-doc.md,131,Core Features and Functionality,Artist Tools,"Export Package: Multi-format export (PNG, PDF stencil, SVG) with coordinates",CAP-066,Export Package,F,Retained source requirement; detailed behavior/phase is proposed,"Export the Go-time package in main §14: brief, art, stencil, coordinates, dimensions, calibration, approvals, rights, revision manifest and selected notes.",Health data/messages excluded by default; raster-in-SVG is not true vector output; preserve unresolved-fit notes.,"Recipient can identify exact revision, print measured ruler and distinguish source artwork, placement preview and unresolved assumptions."
91,S1,artoo-product-requirements-doc.md,132,Core Features and Functionality,Artist Tools,Rating System: Feedback from clients (members only),CAP-067,Rating System,C,Retained source requirement; detailed behavior/phase is proposed,"Eligible members submit verified-interaction ratings with category, text and optional consented media; support artist reply/report/appeal.",Membership-only review policy retained; payment dispute and rating moderation remain distinct.,Nonmembers cannot submit if that rule is retained; deleted/flagged content follows visible moderation status without changing commerce records.
92,S1,artoo-product-requirements-doc.md,133,Core Features and Functionality,Artist Tools,Deposit Requirement Options: Studio-definable booking requirements,CAP-068,Deposit Requirement Options; Deposit Management,C,Retained source requirement; detailed behavior/phase is proposed,"Quote deposit amount/percentage, due date, refundability and balance schedule; collect via supported provider and show paid/pending/failed state.","Authorization, capture and transfer are distinct; deposits are not cash held by an unimplemented escrow service.",Retried deposit action cannot double-charge; expiry releases booking according to accepted policy and reconciles money.
93,S1,artoo-product-requirements-doc.md,134,Core Features and Functionality,Artist Tools,Cancellation Policy Management: Custom no-show and late cancellation rules,CAP-069,Cancellation Policy Management; Refund Policies,C,Retained source requirement; detailed behavior/phase is proposed,"Present no-show/late-cancel/refund rules before acceptance; record request, eligible amount, review and provider execution.",Organization terms do not silently override applicable platform/transaction obligations; partial fulfilled items need separate disposition.,Refund shown complete only after provider evidence; old orders retain their accepted policy despite later edits.
94,S1,artoo-product-requirements-doc.md,135,Core Features and Functionality,Artist Tools,Waitlist Functionality: Automated filling of cancelled appointments,CAP-070,Waitlist Functionality,C,Retained source requirement; detailed behavior/phase is proposed,Let client specify acceptable dates/services and contact choices; offer canceled slot to eligible waitlist entries with hold expiry and opt-out.,Do not book or charge without the specified authorization; avoid multiple accepted offers for one slot.,Two recipients accepting concurrently result in one valid booking and a clear alternative for the other.
95,S1,artoo-product-requirements-doc.md,136,Core Features and Functionality,Artist Tools,Consultation Booking: Pre-design meeting scheduling,CAP-065,Scheduling System; Consultation Booking,C,Retained source requirement; detailed behavior/phase is proposed,"Configure studio hours, branch/artist availability, service duration, buffers, time zones and exceptions; request or reserve a consultation/session.","Travel, overlapping calendars, DST, deposit windows and multi-session work must be handled.",Concurrent clients cannot double-book; a DST transition displays correct local time and reminders reference the accepted appointment.
96,S1,artoo-product-requirements-doc.md,137,Core Features and Functionality,Artist Tools,Timelapse Recording: Document creation process for portfolio enhancement,CAP-071,Timelapse Recording,X,Retained source requirement; detailed behavior/phase is proposed,"Record design-operation playback or canvas frames with pause, private-layer exclusion, playback speed and export consent.","Body captures, messages and off-canvas content are excluded unless explicitly included.",Replay reproduces intended creation sequence without revealing hidden private assets or transient notifications.
97,S1,artoo-product-requirements-doc.md,138,Core Features and Functionality,Artist Tools,Client Brief Templates: Standardized formats for gathering design requirements,CAP-072,Client Brief Templates,F/C,Retained source requirement; detailed behavior/phase is proposed,"Structured, editable brief for references, meaning, placement, scale, color, budget, dates, constraints and multiple/unsure answers; reusable studio templates.",Required fields are purpose-specific; health information lives in a separately permissioned form.,Client can submit an incomplete creative idea with explicit unknowns; artist sees references and missing decisions without invented answers.
98,S1,artoo-product-requirements-doc.md,139,Core Features and Functionality,Artist Tools,Health Screening Forms: Digital integration of required health/consent forms,CAP-073,Health Screening Forms,C/R,Retained source requirement; detailed behavior/phase is proposed,"Versioned practice-specific questionnaires, consent/release signing, signer identity, timestamps and restricted staff access; export a signed copy to authorized parties.",Forms do not replace professional assessment; data-retention and legally valid signature requirements need jurisdiction-specific review.,Changed form requires a new signature; public sharing/ordinary design export cannot include responses accidentally.
99,S1,artoo-product-requirements-doc.md,140,Core Features and Functionality,Artist Tools,Anonymous Portfolio Reviews: Unbiased feedback without revealing identity,CAP-074,Anonymous Portfolio Reviews,X,Retained source requirement; detailed behavior/phase is proposed,"Submit consented portfolio subset, remove identity metadata, collect structured critique and reveal identity only by choice.",Anonymity may be imperfect if art is recognizable; reviewer conflict/report mechanisms required.,Downloaded review pack omits identifying metadata and hidden client material; reviewer can decline a conflict.
100,S1,artoo-product-requirements-doc.md,141,Core Features and Functionality,Artist Tools,Artist-User Collaborative Sketchbook: Shared workspace for iterative design development between artists and clients,CAP-075,Artist-User Collaborative Sketchbook; Real-time Collaborative Design,C/X,Retained source requirement; detailed behavior/phase is proposed,"Shared references, drawing, annotations and live cursors in the same project; object-level operations with roles, version history and conflict handling.",Observer/commenter/editor roles differ; offline conflicts and simultaneous edits never silently overwrite.,"Two editors change separate objects, reconnect and converge; read-only guest cannot mutate document via UI or direct request."
101,S1,artoo-product-requirements-doc.md,145,Core Features and Functionality,Communication,Asynchronous Messaging (MVP): Email-style communication,CAP-076,Asynchronous Messaging (MVP); Messaging Integration,C,Retained source requirement; detailed behavior/phase is proposed,"Persistent project/order-linked threads with unread state, attachments, delivery status and reference to design revision; configurable notifications.",Message send failure retains a draft; orders and chat history are distinct records.,Opening a revision comment goes to its original revision; retry does not create duplicate messages.
102,S1,artoo-product-requirements-doc.md,146,Core Features and Functionality,Communication,Real-time Chat (Native): Instant messaging capabilities,CAP-077,Real-time Chat (Native),X,Retained source requirement; detailed behavior/phase is proposed,"Add live delivery, presence and optional typing/read indicators to the same threads, with offline catch-up and notification controls.","Recommend capability-based web/mobile support instead of Native-only gate; presence is best-effort, not proof of availability.",Disconnect/reconnect delivers each message once in stable order and preserves privacy settings.
103,S1,artoo-product-requirements-doc.md,147,Core Features and Functionality,Communication,Media Attachments: Send designs and reference images,CAP-078,Media Attachments,C,Retained source requirement; detailed behavior/phase is proposed,"Attach images/files/preview references with progress, cancellation, malware/type validation, size limits and participant-scoped access.",Full-resolution body photos require separate audience awareness; thumbnail must not bypass permissions.,Removed participant cannot fetch attachment URL; failed upload leaves recoverable local file and no falsely sent message.
104,S1,artoo-product-requirements-doc.md,148,Core Features and Functionality,Communication,Message Templates: Quick responses for common interactions,CAP-079,Message Templates,C,Retained source requirement; detailed behavior/phase is proposed,"Personal/studio replies with named variables, preview and editable content for quotes, aftercare, reminders and common answers.",Never auto-send AI/template content or financial promises without configured authorization.,Missing variables block send or remain clearly marked; recipient/context preview prevents wrong-client messages.
105,S1,artoo-product-requirements-doc.md,149,Core Features and Functionality,Communication,Response Indicators: Shows typical artist response times,CAP-080,Response Indicators,C,Retained source requirement; detailed behavior/phase is proposed,Show aggregated typical response range and last-updated context; allow away status and office hours.,Do not expose exact personal activity or guarantee a response deadline from an average.,Insufficient history shows unavailable rather than invented hours; paused profiles show the correct status.
106,S1,artoo-product-requirements-doc.md,150,Core Features and Functionality,Communication,End-to-end Encryption (Native): Secure messaging and design sharing,CAP-081,End-to-end Encryption (Native),R,Retained source requirement; detailed behavior/phase is proposed,"Define endpoint keys, participant changes, encrypted attachments, local storage, device transfer, recovery and authorized reporting in a reviewed threat model.",Server AI/search cannot read E2EE content without a separate consented design; key loss behavior must be explicit.,Server-side storage cannot decrypt a test thread; removed members lack new keys; recovery works only under the declared policy.
107,S1,artoo-product-requirements-doc.md,151,Core Features and Functionality,Communication,Aftercare Buddy System: Connect users getting tattoos around the same time,CAP-082,Aftercare Buddy System,X/R,Retained source requirement; detailed behavior/phase is proposed,"Opt-in peer matching by broad timing/interests, private group conversation, boundaries, blocking and reviewed educational links.",No automatic health-data sharing or peer diagnosis; users can participate without revealing body images/location.,Opt-out removes future matching; block stops interaction; health questions route to professional-care resources rather than model diagnosis.
108,S1,artoo-product-requirements-doc.md,155,Core Features and Functionality,Payments Platform,"Multi-directional Payment System: Transactions between all parties (users, artists, shops, ARTOO)",CAP-083,Multi-directional Payment System,C/R,Retained source requirement; detailed behavior/phase is proposed,"Define supported client/artist/studio/platform transfers plus requested user-to-user and collaborator payments; present purpose, sender/recipient, fees, status and receipt.",General P2P and cross-border rails require explicit provider eligibility; internal credits are not a cash wallet.,"Each enabled route has tested debit/credit, rejection, reversal and statement reconciliation; unsupported routes stay clearly unavailable."
109,S1,artoo-product-requirements-doc.md,156,Core Features and Functionality,Payments Platform,Commission Splitting: Automated revenue distribution between artists and studios,CAP-084,Commission Splitting; Variable Fee Structure,C,Retained source requirement; detailed behavior/phase is proposed,"Calculate versioned platform, studio and artist allocations per accepted offer with amount basis, currency, tax/processing-fee responsibility and rounding.",Changes to membership do not alter accepted allocation; percentages alone are insufficient without defining gross/net basis.,"Minor-unit allocations balance for ordinary, discounted, partial-refund and FX cases; duplicate events do not duplicate earnings."
110,S1,artoo-product-requirements-doc.md,157,Core Features and Functionality,Payments Platform,Variable Fee Structure: Adjustable platform percentage based on membership tier,CAP-084,Commission Splitting; Variable Fee Structure,C,Retained source requirement; detailed behavior/phase is proposed,"Calculate versioned platform, studio and artist allocations per accepted offer with amount basis, currency, tax/processing-fee responsibility and rounding.",Changes to membership do not alter accepted allocation; percentages alone are insufficient without defining gross/net basis.,"Minor-unit allocations balance for ordinary, discounted, partial-refund and FX cases; duplicate events do not duplicate earnings."
111,S1,artoo-product-requirements-doc.md,158,Core Features and Functionality,Payments Platform,Escrow System: Secure payment holding during commission process,CAP-085,Escrow System,R,Retained source requirement; detailed behavior/phase is proposed,"Preserve secure milestone payment intent; offer provider-supported holding/release with explicit conditions, duration, dispute route and beneficiary.",Do not call delayed payout escrow unless actual qualified arrangement exists; no product promise of indefinite custody.,Gate includes provider contract and end-to-end held/released/refunded/expired states; absent support shows an honest alternative.
112,S1,artoo-product-requirements-doc.md,159,Core Features and Functionality,Payments Platform,Deposit Management: Partial payments with milestone-based releases,CAP-068,Deposit Requirement Options; Deposit Management,C,Retained source requirement; detailed behavior/phase is proposed,"Quote deposit amount/percentage, due date, refundability and balance schedule; collect via supported provider and show paid/pending/failed state.","Authorization, capture and transfer are distinct; deposits are not cash held by an unimplemented escrow service.",Retried deposit action cannot double-charge; expiry releases booking according to accepted policy and reconciles money.
113,S1,artoo-product-requirements-doc.md,160,Core Features and Functionality,Payments Platform,Installment Plans: Customizable payment schedules for larger pieces,CAP-086,Installment Plans,C/R,Retained source requirement; detailed behavior/phase is proposed,"Present total price, installment amounts/dates, fees/interest if any, failure handling and consent; separate payment schedule from lending offer.",Regional/provider eligibility required; do not create unqualified credit underwriting.,Failed installment updates balance and appointment policy without duplicate fees or unintended artist payout.
114,S1,artoo-product-requirements-doc.md,161,Core Features and Functionality,Payments Platform,Multiple Withdrawal Options: Instant payout (fee) or standard bank transfer (3-5 days),CAP-087,Multiple Withdrawal Options,C,Retained source requirement; detailed behavior/phase is proposed,"Show eligible standard/instant payout options, fees, estimated arrival and linked account verification; track pending/paid/failed/returned states.",Historical 3–5 day schedule is not universally promised; availability/currency depend on provider.,Failed/returned payout reconciles balance; selecting instant exposes fee before confirmation.
115,S1,artoo-product-requirements-doc.md,162,Core Features and Functionality,Payments Platform,Tax Documentation: Automated earnings reports for artists and studios,CAP-088,Tax Documentation,C/R,Retained source requirement; detailed behavior/phase is proposed,"Statements summarize gross sales, fees, refunds, taxes, allocations and payouts by period; eligible provider-generated tax forms appear with corrections.",Tax-form obligations depend on jurisdiction/party; do not imply ARTOO determines every person's filing duty.,Statement totals reconcile to ledger and provider events; corrected records produce a versioned statement rather than silent overwrite.
116,S1,artoo-product-requirements-doc.md,163,Core Features and Functionality,Payments Platform,Currency Conversion: Support for international transactions,CAP-089,Currency Conversion,C/R,Retained source requirement; detailed behavior/phase is proposed,"Show presentment/settlement currencies, quoted rate/time, conversion fee and expiry before acceptance.",No silent currency mixing; refunds may differ due to FX and must disclose policy.,Currency exponents and rounding remain correct; an expired rate triggers review before payment.
117,S1,artoo-product-requirements-doc.md,164,Core Features and Functionality,Payments Platform,"Payment Method Diversity: Credit/debit, PayPal, Venmo, CashApp, GPay, Revolut (MVP), with Stripe, Apple Pay, and Crypto (Native)",CAP-090,Payment Method Diversity,C/X/R,Retained source requirement; detailed behavior/phase is proposed,"Retain card, PayPal, Venmo, Cash App, Google Pay, Revolut, Stripe-supported methods, Apple Pay and crypto in the capability matrix; display only eligible routes.",None is assumed universally available or free; crypto is separately gated and not required for normal checkout.,Unsupported device/region never yields a dead payment button; accepted methods have tested failure/refund/receipt paths.
118,S1,artoo-product-requirements-doc.md,165,Core Features and Functionality,Payments Platform,Loyalty Programs: Rewards for returning clients with exclusive designs or discounts,CAP-091,Loyalty Programs,X,Retained source requirement; detailed behavior/phase is proposed,"Earn/redeem defined points or discounts for eligible repeat activity; show balance, expiry, rules and reversal effects.",Loyalty units differ from cash and generation credits; refunded activity cannot silently retain unearned value.,Accrual/reversal/redemption is idempotent and presents the correct discount in a multi-seller cart.
119,S1,artoo-product-requirements-doc.md,166,Core Features and Functionality,Payments Platform,Charity Flash Events: Digital events where proceeds go to selected causes,CAP-092,Charity Flash Events,X/R,Retained source requirement; detailed behavior/phase is proposed,"Create beneficiary-linked event, eligible designs, allocation percentage/basis, schedule and public accounting summary with artist consent.",Beneficiary verification and payment eligibility required; distinguish donation from artist revenue and fees.,Final report reconciles proceeds and transfers; cancellation/refund updates beneficiary allocation transparently.
120,S1,artoo-product-requirements-doc.md,170,Core Features and Functionality,Business Model,Tiered Subscriptions: Multiple membership levels with increasing benefits,CAP-093,Tiered Subscriptions; Member-Only Features,C,Retained source requirement; detailed behavior/phase is proposed,"Central entitlement catalogue powers pricing, tool availability, quota messages and account settings; show upgrade/downgrade effective date and billing terms.","Do not hide unsupported features behind payment; permission, plan and hardware availability are separate reasons.","Identical entitlement policy governs UI, export, API and background jobs; cancellation preserves documented access until effective expiry."
121,S1,artoo-product-requirements-doc.md,171,Core Features and Functionality,Business Model,User Tiers (UT):,CAP-045,User Tiers (UT Levels); User Tiers (UT); Free Tier; UT1; UT2,C,Retained source requirement; detailed behavior/phase is proposed,"Display free and paid client benefits, compute credits, avatar/simulation access, discounts and storage/export limits before purchase.","S3 also lists Basic/Premium/Elite; preserve that alternative. Recommend recovery drafts for all, explicitly challenging no-save history.",Exhausted entitlement explains alternatives and preserves work; a downgrade does not destroy prior files.
122,S1,artoo-product-requirements-doc.md,172,Core Features and Functionality,Business Model,Free Tier: Basic visualization with strict limitations,CAP-045,User Tiers (UT Levels); User Tiers (UT); Free Tier; UT1; UT2,C,Retained source requirement; detailed behavior/phase is proposed,"Display free and paid client benefits, compute credits, avatar/simulation access, discounts and storage/export limits before purchase.","S3 also lists Basic/Premium/Elite; preserve that alternative. Recommend recovery drafts for all, explicitly challenging no-save history.",Exhausted entitlement explains alternatives and preserves work; a downgrade does not destroy prior files.
123,S1,artoo-product-requirements-doc.md,173,Core Features and Functionality,Business Model,"UT1: Enhanced features, parametric avatars, daily credits, discounts",CAP-045,User Tiers (UT Levels); User Tiers (UT); Free Tier; UT1; UT2,C,Retained source requirement; detailed behavior/phase is proposed,"Display free and paid client benefits, compute credits, avatar/simulation access, discounts and storage/export limits before purchase.","S3 also lists Basic/Premium/Elite; preserve that alternative. Recommend recovery drafts for all, explicitly challenging no-save history.",Exhausted entitlement explains alternatives and preserves work; a downgrade does not destroy prior files.
124,S1,artoo-product-requirements-doc.md,174,Core Features and Functionality,Business Model,"UT2: Advanced avatar system, increased discounts, aging simulation, premium features",CAP-045,User Tiers (UT Levels); User Tiers (UT); Free Tier; UT1; UT2,C,Retained source requirement; detailed behavior/phase is proposed,"Display free and paid client benefits, compute credits, avatar/simulation access, discounts and storage/export limits before purchase.","S3 also lists Basic/Premium/Elite; preserve that alternative. Recommend recovery drafts for all, explicitly challenging no-save history.",Exhausted entitlement explains alternatives and preserves work; a downgrade does not destroy prior files.
125,S1,artoo-product-requirements-doc.md,175,Core Features and Functionality,Business Model,Artist Tiers (AT):,CAP-044,Artist Tiers (AT Levels); Artist Tiers (AT); AT1; AT2,C,Retained source requirement; detailed behavior/phase is proposed,"Configure selling, scheduling, portfolio analytics, promotion, advanced exports and support by artist plan; show fee breakdown per offer.","Historical 75% vs 90% artist shares are unresolved commercial terms, not silently adopted rates.",A plan change affects future quotes only; accepted split and payout records remain unchanged.
126,S1,artoo-product-requirements-doc.md,176,Core Features and Functionality,Business Model,"AT1: Marketplace selling, profile analytics, 75% sales commission, scheduling tools",CAP-044,Artist Tiers (AT Levels); Artist Tiers (AT); AT1; AT2,C,Retained source requirement; detailed behavior/phase is proposed,"Configure selling, scheduling, portfolio analytics, promotion, advanced exports and support by artist plan; show fee breakdown per offer.","Historical 75% vs 90% artist shares are unresolved commercial terms, not silently adopted rates.",A plan change affects future quotes only; accepted split and payout records remain unchanged.
127,S1,artoo-product-requirements-doc.md,177,Core Features and Functionality,Business Model,"AT2: 90% commission, featured placement, advanced export options, priority support",CAP-044,Artist Tiers (AT Levels); Artist Tiers (AT); AT1; AT2,C,Retained source requirement; detailed behavior/phase is proposed,"Configure selling, scheduling, portfolio analytics, promotion, advanced exports and support by artist plan; show fee breakdown per offer.","Historical 75% vs 90% artist shares are unresolved commercial terms, not silently adopted rates.",A plan change affects future quotes only; accepted split and payout records remain unchanged.
